cancer	patient	drug	response
digestive_system	TGBC11TKB	Cisplatin	4.771746
blood	THP.1	Cisplatin	5.756568
blood	TUR	Cisplatin	4.612523
urogenital_system	TYK.nu	Cisplatin	2.762374
bone	U.2.OS	Cisplatin	1.311194
blood	U.698.M	Cisplatin	5.330315
breast	UACC.893	Cisplatin	3.261876
lung	UMC.11	Cisplatin	6.805516
urogenital_system	VM.CUB.1	Cisplatin	0.756552
kidney	VMRC.RCZ	Cisplatin	5.696552
skin	WM.115	Cisplatin	3.508382
blood	WSU.NHL	Cisplatin	2.898252
pancreas	YAPC	Cisplatin	7.059154
nervous_system	YH.13	Cisplatin	2.49591
breast	ZR.75.30	Cisplatin	5.156666
kidney	RCC10RGB	Cisplatin	6.821594
urogenital_system	KURAMOCHI	Cisplatin	2.235788
blood	KM.H2	Cisplatin	5.00804
bone	HuO.3N1	Cisplatin	3.851604
aero_digestive_tract	OE19	Cisplatin	4.461804
lung	NCI.H838	Cisplatin	2.895541
blood	Ramos.2G6.4C10	Cisplatin	3.952623
blood	RPMI.8866	Cisplatin	2.981056
blood	QIMR.WIL	Cisplatin	3.096446
pancreas	PSN1	Cisplatin	0.516077
urogenital_system	OAW.42	Cisplatin	2.155213
aero_digestive_tract	OE33	Cisplatin	3.113975
digestive_system	CW.2	Cisplatin	3.200442
blood	CMK	Cisplatin	3.792312
nervous_system	CHP.126	Cisplatin	1.876744
thyroid	CGTH.W.1	Cisplatin	0.822192
blood	MC.CAR	Cisplatin	6.084682
nervous_system	PFSK.1	Cisplatin	2.322735
soft_tissue	A673	Cisplatin	0.775562
bone	ES3	Cisplatin	0.146882
bone	ES5	Cisplatin	1.199063
bone	ES7	Cisplatin	0.628144
bone	EW.11	Cisplatin	3.043455
lung	NCI.H1395	Cisplatin	3.770087
skin	COLO.829	Cisplatin	1.735387
urogenital_system	X5637	Cisplatin	1.508175
urogenital_system	RT4	Cisplatin	3.314048
urogenital_system	SW780	Cisplatin	2.64099
urogenital_system	TCCSUP	Cisplatin	2.13993
urogenital_system	C.33.A	Cisplatin	1.305447
urogenital_system	ME.180	Cisplatin	0.81246
nervous_system	X8.MG.BA	Cisplatin	1.683443
nervous_system	A172	Cisplatin	4.527532
nervous_system	GB.1	Cisplatin	0.644436
nervous_system	T98G	Cisplatin	4.947144
nervous_system	U.118.MG	Cisplatin	2.820849
nervous_system	U.87.MG	Cisplatin	2.784616
nervous_system	YKG.1	Cisplatin	2.336412
lung	ChaGo.K.1	Cisplatin	2.451125
